communityname,state,region,population,RuralUrban,medIncome,PctPopUnderPov,PctFam2Par,PctHousOwnOcc,PolicBudgPerPop,ViolentCrimesperPop
Wolcotttown,CT,North-East,13700,urban,48507,1,87,89,216,2718
Gretnacity,LA,South,17208,urban,17344,29,53,50,1590,7488
Durangocity,CO,West,12430,rural,22996,18,70,54,361,7653
LaMesacity,CA,West,52931,urban,31171,9,79,48,487,5006
Christiansburgtown,VA,South,15004,rural,26171,10,74,67,112,4743
Pasadenacity,TX,South,119363,urban,28729,14,67,51,1248,5748
MiamiBeachcity,FL,South,92639,urban,15312,25,58,28,1981,16092
ElizabethCitycity,NC,South,14292,rural,16305,28,52,49,828,6192
Deptfordtownship,NJ,North-East,24137,urban,38250,5,78,77,383,5637
Naticktown,MA,North-East,30510,urban,49229,3,83,66,186,2045
Wabashcity,IN,Mid-West,12127,rural,25141,11,75,65,194,2330
Bloomfieldtown,CT,North-East,19483,urban,47853,4,74,77,446,4101
AtlanticCitycity,NJ,North-East,37986,urban,20309,24,32,30,3583,27010
Loraincity,OH,Mid-West,71245,urban,24123,19,63,61,306,2754
NewportBeachcity,CA,West,66643,urban,60374,5,77,55,387,4864
Springvillecity,UT,West,13950,urban,25341,12,85,68,254,3623
Reedleycity,CA,West,15791,rural,24128,22,72,57,724,5216
SealBeachcity,CA,West,25098,urban,32834,4,81,75,243,3412
RollingMeadowscity,IL,Mid-West,22591,urban,45764,3,81,71,,3842
Winchestercity,KY,South,15799,rural,21543,21,70,57,513,3147
LighthousePointcity,FL,South,10378,urban,40934,4,85,83,178,3890
Ramseycity,MN,Mid-West,12408,urban,46101,2,90,96,,2833
Portlandcity,ME,North-East,64358,urban,26576,14,83,42,673,7289
SanAngelocity,TX,South,84474,urban,23534,18,74,59,512,
RichmondHeightscity,MO,Mid-West,10448,urban,32237,7,75,58,749,12349
Demingcity,NM,West,10970,rural,15570,33,65,64,541,5791
Weslacocity,TX,South,21877,urban,17645,35,74,62,487,8375
Hamburgtownship,MI,Mid-West,13083,rural,48481,3,89,89,,2209
Sheffieldcity,AL,South,10380,urban,20134,20,65,65,241,4662
Novicity,MI,Mid-West,32998,urban,47518,3,84,72,,4658
MapleGrovecity,MN,Mid-West,38736,urban,50611,2,88,89,,2743
Azusacity,CA,West,41333,urban,31889,14,69,48,658,4167
Turlockcity,CA,West,42198,rural,27293,13,73,52,847,7632
SouthPasadenacity,CA,West,23936,urban,43043,5,74,44,348,3633
NorthHuntingdontownship,PA,North-East,28158,urban,32066,5,87,86,101,1386
Lincolntownship,MI,Mid-West,13604,urban,37771,3,85,75,,2724
Xeniacity,OH,Mid-West,24664,rural,25508,15,70,63,446,5466
Manvilleborough,NJ,North-East,10567,urban,37664,4,76,70,132,1992
Sanfordcity,FL,South,32387,urban,25029,16,58,56,1440,9049
Coatesvillecity,PA,North-East,11038,urban,24887,18,49,50,1054,4301
Daytoncity,OH,Mid-West,182044,urban,19779,26,49,50,1629,9465
Northamptontownship,PA,North-East,35406,urban,59285,1,90,91,41,699
Conneautcity,OH,Mid-West,13241,rural,21144,19,75,69,97,2449
Sheridancity,WY,West,13900,rural,23819,10,71,64,134,3752
Thomasvillecity,NC,South,15915,urban,21754,12,59,49,861,8013
Lenoircity,NC,South,14192,rural,21372,17,61,63,972,7722
Andersoncity,IN,Mid-West,59459,urban,23221,17,62,63,439,4909
Pleasantoncity,CA,West,50553,urban,59458,2,83,70,144,3508
Herefordcity,TX,South,14745,rural,21120,27,76,66,455,5075
Minnetonkacity,MN,Mid-West,48370,urban,50659,2,85,76,,3092
Gaffneycity,SC,South,13145,rural,21515,20,57,62,393,3049
DeSotocity,TX,South,30544,urban,45550,3,80,69,275,4729
Middletowncity,NY,North-East,24160,rural,30194,13,67,50,484,5244
BeechGrovecity,IN,Mid-West,13383,urban,29549,5,73,60,167,3772
FondduLaccity,WI,Mid-West,37757,rural,26826,9,76,62,398,6667
Tularecity,CA,West,33249,rural,24686,21,67,56,864,4561
Yanktoncity,SD,Mid-West,12703,rural,21344,12,77,61,189,3518
ElMontecity,CA,West,106209,urban,28034,22,68,40,1318,4576
Opelikacity,AL,South,22122,urban,25369,20,63,61,2728,
RedWingcity,MN,Mid-West,15134,rural,27111,9,77,68,,4852
Gainesvillecity,TX,South,14256,rural,20364,21,59,62,277,4809
Crowleycity,LA,South,13983,rural,13804,34,60,60,1029,6613
SanDimascity,CA,West,32397,urban,50268,5,80,76,605,3140
Enterprisecity,AL,South,20123,rural,26276,15,75,63,1002,
Rahwaycity,NJ,North-East,25325,urban,40776,6,75,65,390,3873
Jamestowncity,ND,Mid-West,15571,rural,22146,11,76,58,129,2617
Bellefontainecity,OH,Mid-West,12142,rural,25221,13,70,59,259,3016
Harveycity,IL,Mid-West,29771,urban,23201,25,46,58,,10074
Schenectadycity,NY,North-East,65566,urban,24316,14,60,46,1033,
Athenscity,TN,South,12054,rural,19259,23,72,62,669,4632
Bainbridgecity,GA,South,10712,rural,18641,28,54,61,985,7781
Bristolborough,PA,North-East,10405,urban,26265,10,71,59,840,4256
SantaRosacity,CA,West,113313,urban,35237,8,70,57,537,6058
Newarkcity,CA,West,37861,urban,50471,5,43,72,809,5856
Tigardcity,OR,West,29344,urban,35669,4,78,57,218,6167
Indianapoliscity,IN,Mid-West,741952,urban,29083,12,66,56,1682,7349
Salemcity,OR,West,107786,urban,25236,14,67,54,332,8062
AlbertLeacity,MN,Mid-West,18310,rural,23381,11,76,71,,3927
Gastoniacity,NC,South,54732,urban,25910,14,64,58,1486,8773
Dracuttown,MA,North-East,25594,urban,45165,3,82,76,286,3764
NewCastlecity,PA,North-East,28334,rural,17103,19,64,63,506,3541
Huntingtoncity,WV,South,54844,urban,18276,23,66,57,563,5957
SpanishForkcity,UT,West,11272,rural,29023,7,86,73,108,3681
Norfolkcity,VA,South,261229,urban,23563,19,62,44,1135,8027
Oviedocity,FL,South,11114,urban,40221,7,82,80,827,6243
UnionCitycity,CA,West,53762,urban,46988,6,59,67,551,4895
Hollywoodcity,FL,South,121697,urban,27352,11,70,64,822,8282
Salinascity,CA,West,108777,urban,31271,15,71,46,1219,5828
Bartlettvillage,IL,Mid-West,19373,urban,51524,2,88,87,,2352
Lafayettecity,IN,Mid-West,43764,urban,27023,8,75,59,200,5237
SouthHadleytown,MA,North-East,16685,urban,38694,4,80,71,203,1469
Paducahcity,KY,South,27256,rural,17196,23,58,54,1660,7681
LiveOakcity,TX,South,10023,urban,35856,5,81,65,259,3878
